"calfresh","117"
"house","563"
"houses","314"
"rental","455"
"homelessness","563"
"class","290"
"complain","571"
"complaining","571"
"covid-19","17"
"schools","290"
"applications","451"
"rents","455"
"apartment","455"
"apartments","455"
"meal","589"
"grocery","577"
